DATE,VOL@STOT.a,VAL@STOT.a,TRA.a,RM@MONEY.a,RX$.a,NCOM.a,NSHARE.a,PAR.a,MARKET.a,KINC.a,JS.a,DAVOL@STOT.a,DAVAL@STOT.a,ECH.a,GNI$.a,NI.a,GDP$@ROC.a,RM@RDISC.a,EX.a,CPICH.a,STOCKPRICE.a,ECH@US.a,STOCKN.a,STOCKPAR.a,STOCKMAR.a,STOCKTRADE.a,STOCKAVD.a,JLEAD@US.a,JCOIN@US.a,JLAG@US.a,RMTB91.a,RMTB180SEC.a,RMTB182.a,RMTB30SEC.a,RMTB364.a,RMTB90SEC.a,MLNGP.a,EXO$.a,EXOELP$.a,AE@IND&SV.a,TW_BANK_rate
DATE,成交股數 - 股票 (千股),成交金額 - 股票 (新台幣千元),成交筆數 - 總筆數 (千股),利率 - 貨幣市場利率 (年率%),匯率 (新台幣/外幣) - 美金,上市公司家數 (新台幣千元),上市總股數 (千股),上市股份面值總額 (新台幣千元),上市股份市值總額(期終日) (新台幣千元),增資總金額 (新台幣千元),發行量加權股價指數 (基期: 民國 55 年=100),平均每日成交股數 - 股票 (千股),平均每日成交金額 - 股票 (千股),經濟成長率 (%),國民所得毛額 (按當期價格計算) (百萬美元),國民所得 - 金額 (新台幣百萬元),國內生產毛額 - 中華民國 (美金十億元),中央銀行重貼現率 (年息 %),商品及服務輸出 (按當期價格計算) (新台幣百萬元),物價變動 - 消費者物價指數 (%),股價指數 (基期: 民國 55 年=100),經濟成長率 - 美國 (%),上市股票 - 公司家數 (家),上市股票 - 總面值 (新台幣百萬元),上市股票 - 總市值 (新台幣百萬元),上市股票 - 總成交值 (新台幣百萬元),上市股票 - 日平均成交值 (新台幣百萬元),美國景氣綜合指數 - 領先指標 (基期:民國 93 年=100),美國景氣綜合指數 - 同時指標 (基期:民國 93 年=100),美國景氣綜合指數 - 落後指標 (基期:民國 93 年=100),貨幣市場利率 - 國庫券 - 初級市場 (1-91 天) (年息百分比率),貨幣市場利率 - 國庫券 - 次級市場 (91-180天) (年息百分比率),貨幣市場利率 - 國庫券 - 初級市場 (92-182 天) (年息百分比率),貨幣市場利率 - 國庫券 - 次級市場 (1-30天) (年息百分比率),貨幣市場利率 - 國庫券 - 初級市場 (183-364 天) (年息百分比率),貨幣市場利率 - 國庫券 - 次級市場 (31-90天) (年息百分比率),進口液化石油氣平均價格 (美元/公噸 : CIF),各類貨品外銷訂單金額 - 合計 (百萬美元)?,各類貨品外銷訂單金額 - 電子產品 (百萬美元)?,受雇員工每人每月薪資 - 工業及服務業 (新台幣元),台灣銀行定存一年期利率
DATE,千股(1000 shares),新台幣千元(NT$ 1000),千股(1000 shares),年率%,新台幣/外幣 - 美金,新台幣千元(NT$ 1000),千股(1000 shares),新台幣千元(NT$ 1000),千股(1000 shares),新台幣千元(NT$ 1000),基期: 民國 55 年=100 (base: 1966=100),千股(1000 shares),千股(1000 shares),%,百萬美元,新台幣百萬元,美金十億元,年息 %,新台幣百萬元,%,基期: 民國 55 年=100(base: 1966=100),%,家(No_ of Stocks),新台幣百萬元 (NT$ million),新台幣百萬元 (NT$ million),新台幣百萬元 (NT$ million),新台幣百萬元 (NT$ million),(base: 2004=100),(base: 2004=100),(base: 2004=100),年息百分比率(percent per annum),年息百分比率(percent per annum),年息百分比率(percent per annum),年息百分比率(percent per annum),年息百分比率(percent per annum),年息百分比率(percent per annum),美元/公噸 : CIF,百萬美元 (USD million),百萬美元 (USD million),新台幣元,%
2000,630868033.5,30526566296,164829580,4.91,32.99,531,363018,3630183,8191474,388770195,7847.21,2327926.32,112644156.1,6.42,335921,9269557,331.45,4.63,5373337,1.25,7847.21,4.09,531,3630045,8191474,30526568,112644,109.4,98.3,90.68,NA,NA,4.91,NA,4.94,NA,261.79,153431,34209,41861,5
2001,606420171,18354935757,142654195,3.69,35,584,406400,4063998,10247599,387395798,4907.43,2485328.57,75225146.55,-1.26,306129,9015899,300.45,2.13,4942685,0,4907.43,0.98,584,4062775,10247599,18354935,75225,101.41,97.93,91.24,NA,NA,3.9,NA,2.42,NA,251.45,135715,26122,41960,2.5
2002,856189752,21873950631,173002812,2.03,34.75,638,441040,4410399,9094936,259173037,5225.61,3452378.03,88201413.84,5.57,315887,9504407,308.88,1.63,5427124,-0.2,5225.61,1.79,638,4409697,9094936,21873952,88201,102.39,97.64,90.47,NA,NA,NA,NA,2.16,NA,237.27,150949,29081,41530,1.875
2003,917579432,20333237368,168153781,1.05,33.98,669,470551,4705514,12869101,232474763,5161.9,3685057.96,81659587.82,4.12,328145,9885093,318.59,1.38,5924171,-0.28,5161.9,2.81,669,4705054,12869101,20333237,81660,105.64,98.2,91,NA,1.03,1.06,1.01,1.05,1.02,272.54,170024,33892,42065,1.4
2004,987573775,23875366203,183844085,0.99,31.92,697,503132,5031317,13989100,275275383,6033.78,3950295.1,95501464.81,6.51,359609,10467622,348.48,1.75,6982430,1.61,6033.78,3.79,697,5031317,13989100,23875367,95502,116.08,100.22,92.07,NA,0.96,1.15,0.95,1.22,0.96,329.13,215081,47028,42680,1.5
2005,663512192,18818901753,143613278,1.27,32.85,691,538995,5389951,15633858,334958303,6092.27,2686284.18,76189885.64,5.42,384808,10732710,375.77,2.25,7329793,2.3,6092.27,3.35,691,5389949,15633858,18818901,76190,122.3,102.63,95.04,1.35,1.21,1.29,1.19,1.54,1.21,400.33,256400,57188,43159,1.99
2006,732510321,23900362445,175093766,1.54,32.6,688,549493,5494930,19376975,243193589,6842.04,2953670.65,96372429.21,5.62,398171,11117367,388.59,2.75,8316084,0.6,6842.04,2.67,688,5494930,19376975,23900362,96372,123.5,105.24,98.56,NA,1.49,1.66,1.44,NA,1.4,472.94,299312,68823,43488,2.2
2007,887185870,33043848421,233782691,1.9,32.44,698,555864,5558644,21527298,249461050,8509.56,3591845.63,133780762.8,6.52,418387,11590959,408.25,3.38,9349494,1.8,8509.56,1.78,698,5558644,21527298,33043851,133781,121.07,107.05,101.28,NA,1.65,NA,1.73,2.05,1.69,516.44,345809,79466,44392,2.635
2008,778910094,26115407562,230435684,1.92,32.86,718,569040,5690399,11706527,222974091,7024.06,3128152.99,104881154.9,0.7,426937,11161869,416.96,2,9230775,3.52,7024.06,-0.29,718,5690399,11706527,26115409,104881,107.76,105.59,104.36,NA,1.82,1.8,1.75,1.87,1.77,743.49,351728,82094,44367,1.42
2009,1088769001,29680470925,279947244,0.24,32.03,741,577290,5772899,21033640,215888468,6459.56,4337725.1,118248888.2,-1.57,404587,10985329,392.07,1.25,7827336,-0.86,6459.56,-2.78,741,5772899,21033640,29680470,118249,93.02,98.98,102.84,0.25,0.16,0.16,0.15,0.26,0.15,435.75,322432,78204,42182,0.9
2010,817567480,28218675690,244784746,0.38,30.37,758,581128,5811281,23811416,203861720,7949.63,3257240.96,112425002.8,10.63,459679,12194428,446.11,1.63,10013538,0.96,7949.63,2.53,758,5811281,23811416,28218677,112425,100,99.99,99.99,0.32,0.26,0.45,0.29,0.61,0.27,511.43,406714,99345,44359,1.185
2011,650941011,26197407640,220104491,0.7,30.29,790,602677,6026767,19216183,240363811,8155.79,2635388.71,106062379.1,3.8,498832,12290671,485.65,1.88,10419700,1.42,8155.79,1.6,790,6026767,19216183,26197409,106062,105.33,102.48,102.18,0.57,0.53,0.76,0.56,0.83,0.52,689.88,436121,101908,45508,1.355
2012,530705509,20238166009,183835092,0.79,29.14,809,625798,6257977,21352161,214148895,7481.34,2122822.04,80952664.04,2.06,511179,12493108,495.85,1.88,10345375,1.93,7481.34,2.22,809,6257977,21352161,20238166,80953,107.58,105.16,105.4,0.72,0.68,0.69,0.66,0.75,0.64,778.14,441004.06,103346.31,45589,1.355
2013,543161800,18940932734,184235272,0.69,29.95,838,648800,6488000,24519605,199284605,8092.77,2207974.8,76995661.52,2.2,525851,13115430,511.61,1.88,10579884,0.79,8092.77,1.49,838,6488000,24519560,18940933,76996,111.14,107.13,109.39,0.38,0.6,0.52,0.62,0.55,0.6,761.02,442928.83,106007.24,45664,1.355
2014,566991997,21898537473,208294389,0.62,31.72,854,666533,6665328,26891503,191387290,8992.01,2286258.05,88300554.33,3.92,545500,13901100,530.04,1.88,11258201,1.2,8992.01,2.43,854,6665328,26891503,21898537,88301,117.53,109.83,113.56,0.45,0.45,0.48,0.5,0.46,0.53,730.91,472814.04,118682.12,47300,1.355
2015,511248018,20191486150,NA,0.58,33.05,NA,NA,NA,NA,NA,NA,NA,NA,0.75,539336,14558395,523.57,1.63,10776503,-0.31,8959.35,2.38,874,6849291,24503635,20191486,82752,NA,NA,NA,0.45,0.49,0.4,0.49,0.5,0.38,NA,NA,NA,48490,1.205
